ds,inflow_operating_revenue_actual,inflow_operating_revenue_forecast,inflow_operating_revenue_lower,inflow_operating_revenue_upper,outflow_cogs_actual,outflow_cogs_forecast,outflow_cogs_lower,outflow_cogs_upper,outflow_opex_actual,outflow_opex_forecast,outflow_opex_lower,outflow_opex_upper
2021-01-31,605830680.0,583273802.3841331,551653978.7759941,613251303.459444,373233787.92,363931219.2575168,349950930.91909766,376421994.64827067,563399.37,563411.4632988696,551248.9902184012,576380.4179819522
2021-02-28,653103760.81,618796857.1547527,591052869.694164,651488940.4941767,402397427.86,386458486.01130915,374089482.8093642,399103095.7024719,573931.91,565568.3691401466,553140.0685591453,577752.1204759263
2021-03-31,645280680.0,665929592.86521,636098278.8767993,698920440.2066417,396294782.4,402407766.08277416,389593112.12804025,414460630.45332307,572427.95,578763.7723027158,566655.8262822491,591261.6057263647
2021-04-30,633761366.33,649846153.5605286,618270715.0286486,679142507.3947467,388732622.09,400493085.33853614,387743656.5346362,414548788.00246036,536674.29,555689.2273625188,543332.5138609204,567762.4122099305
2021-05-31,605697120.0,615156447.9096067,583668900.453145,646963227.4966065,372088072.44000006,381187831.8684251,367759907.79400367,394417720.3247201,548966.73,551733.8182748697,538583.527021272,564048.3851698344
2021-06-30,581552400.0,606710139.3348475,575430553.8683425,638678856.3210261,358096099.2,366718936.6752252,354141072.1676943,379751877.14936423,564252.17,566778.5393279698,553527.0549794065,579037.13055446
2021-07-31,506650200.0,488431426.03415745,456148630.13906115,521716199.17428815,310812119.4,306930746.3224092,293316165.477672,319325086.9140496,552305.73,539970.8058359611,527909.184066057,552823.2120402165
2021-08-31,525962389.89,505868458.2907771,476401550.234548,534658253.8490458,322664660.92,318110842.45993376,305958576.6338825,331224621.3364077,579122.71,560460.4532959916,547866.8656606562,573391.1883111418
2021-09-30,518757480.0,477624596.926945,447739858.65298915,510302228.04924345,317913927.84000003,299298545.9087921,286684804.02848613,312257486.8136656,564250.21,543742.763617143,531113.6129036143,556253.7260024496
2021-10-31,572682669.95,563763580.0166646,532944790.894307,596892721.0704992,351599185.25,346488581.9641434,333603541.6466488,359327602.98534083,558799.87,556441.5276526505,542702.3183162393,568885.6059818954
2021-11-30,525487560.0,505492684.7943541,476242944.6151878,537880865.4376123,322575081.72,313496805.71262497,301014880.4198339,326848424.46233094,550683.7,546558.3055759546,533302.803278663,559543.3385401462
2021-12-31,608538000.0,626403333.644023,593137695.368106,656723941.1515437,373744848.0,376494700.5419324,363046300.86016273,389530239.52507746,552975.74,565102.6049071609,553065.0486958058,577081.1240588442
2022-01-31,401934960.0,407298343.6892333,376154834.30080134,439656098.46380943,294552402.48,296434978.18351734,283878818.40413713,309647851.2293817,499674.74,502861.0928579471,491315.4334929525,515188.4140413685
2022-02-28,414151169.37,414713363.3940412,385902011.3224001,447200468.04996127,304035432.93,304095442.9878905,289861960.6005016,317144282.6142755,493215.75,502826.29195475887,489678.62427197956,515030.5954361506
2022-03-31,428562640.0,483137403.34572273,452216865.742181,513175767.8240514,315445567.36,338071631.29817194,326023734.5205597,351595799.3032749,499056.18,506284.17810176243,494689.65397476894,517999.477419315
2022-04-30,430357194.33,419574157.85466355,389080879.4472797,449256659.75800306,316278461.91,310559138.36122584,297614749.115391,323376511.2648406,493243.45,487157.8863081915,474913.4680415313,499654.99989103177
2022-05-31,389754960.0,405944480.53001124,374426257.309712,438086385.25231504,285425501.76,295843906.31497824,283216724.32351476,308481810.53511006,502469.65,500116.9507694573,487892.9675601034,512736.9007788916
2022-06-30,387648800.0,364999293.5852663,333506653.6734385,397268302.0502085,283621956.8,273610353.5649472,259889371.40920958,287106161.6322199,493587.84,500382.96022093605,489035.6038660729,512345.6819214457
2022-07-31,352012240.0,362904902.81051874,329974617.7978192,392706003.5347513,257967810.8,262067660.56923434,247935497.46210098,275603340.64620805,480243.77,486317.4166223195,474369.74460323167,500710.0635850487
2022-08-31,358955702.32,366036522.876171,333730997.12672555,395278775.38938785,263595947.94,263709014.80563325,250372910.7553448,276884314.1079236,487682.73,502875.49456378625,490705.4921921559,513899.25820300676
2022-09-30,314724960.0,359595212.1946575,329525283.6350765,391276942.508061,231210161.28000003,254239840.75573903,241721761.90607998,267414937.28696373,490512.11,509948.89308447763,497237.59373567946,522169.1813725456
2022-10-31,357950965.08,339648106.86723614,307965749.4878923,371546691.78761077,264310189.69,257293244.26753893,243488457.5440774,269371090.45436275,504270.12,492125.5847505842,479700.33900500636,504649.5696311415
2022-11-30,369469440.0,378507220.2402358,346627917.1841633,408847944.4982127,271796512.4,272316344.1918517,258881330.678732,285716453.64918274,496376.87,496102.5810520202,484296.8563539291,508539.8277276635
2022-12-31,376676800.0,319801283.5529083,289054965.7117135,351795670.8977721,276474464.0,256332583.0959445,243559852.48141396,269944384.5824333,505164.99,481754.0752087273,468921.4255824139,494531.3631600376
2023-01-31,489067950.0,529141384.69408923,498212391.66255593,559554221.518074,330923502.0,342594380.74749106,330667682.36604124,355959328.1433119,529992.21,533682.7208366801,520547.7706405774,546101.2371987221
2023-02-28,537113068.72,550700888.4635822,520358847.61037505,581367565.4764727,360920651.48,368093783.9728085,355390995.3818776,381592289.4808665,526430.63,518356.9208408704,506133.53621054103,530604.3182756774
2023-03-31,540703900.0,499098389.2953356,470232847.1036319,529391841.97964466,365956272.0,348986406.07998335,336652536.74591386,362751101.7761161,517311.45,506679.54988866014,494140.1661134712,519074.6162004762
2023-04-30,523876076.61,527608699.58186483,494231144.0294211,560484265.0615255,353164004.48,352162662.822203,339022933.4183418,365153113.214438,531955.88,527998.2586433844,516017.5194491913,541064.9919851011
2023-05-31,533552250.0,523309825.01068836,489573580.889183,551789339.9929756,359179380.0,348348161.16021574,335292801.3059338,360544708.1838214,515943.7,517892.7039843605,504250.95377046685,529883.7142858951
2023-06-30,474129000.0,486908319.01487756,455463835.9498464,517035270.1230541,319788180.0,323406412.1139046,310729267.51988786,336734340.70745873,538438.99,537380.868038153,524404.0967686872,550015.1516190899
2023-07-31,448811350.0,455821084.23618555,425780149.4335537,487204706.8148679,302656918.5,302362801.38414013,287889814.45706666,314498411.2742683,514971.32,521333.73322189087,508368.25485494395,533325.8093827942
2023-08-31,433189706.04,445810476.07792985,413447559.7389973,478117314.4660485,290636613.91,294933964.463469,281805568.4905241,307962715.6753588,527563.97,531388.7372804568,518635.5720429216,543362.8515387952
2023-09-30,427221900.0,423125153.72805035,391579027.93958265,453468646.3958599,289079604.0,284489212.40890795,271743037.5378845,297539774.5339549,535955.17,537472.7259093118,525208.7594265597,549922.8265576948
2023-10-31,432454421.06,459302255.38557225,429516473.65150726,491610316.5363942,292208634.87,304124014.80173415,290275248.69409513,317804225.31780446,521904.12,535919.1788701359,523708.53852584434,548582.427889258
2023-11-30,436120300.0,446828497.9554198,412480219.3039465,479458493.4145972,295694140.5,304079650.86734074,291179296.5167442,317493392.92688096,524091.13,528400.9444753154,516079.88321150304,540583.5129025074
2023-12-31,460871000.0,499716057.51315284,468598830.9335784,530823263.0137476,312025950.0,329282089.87815267,316767068.2439117,341982603.07658243,527680.65,538476.0769929115,525465.1266704268,550567.7834258148
2024-01-31,634143510.0,611144239.3975127,580289461.6304867,643054174.2558866,381741250.8,377375547.9982479,365021884.47075254,390308628.36489373,577932.17,571283.1411715372,559686.6758722413,582525.3444104395
2024-02-29,701713468.75,721086096.0985984,690656053.4419632,750468006.4715481,419034361.2,427402101.1096728,414160520.0292122,440421018.29158854,585641.29,592417.9849863499,580164.3927986913,604587.1496210443
2024-03-31,718061630.0,685753388.1841416,656163690.52173,716784146.8564385,431719516.8,420450907.933745,408080860.96450543,433207523.3642856,575663.25,572645.5770869902,560001.2628792679,584959.8144068113
