ds,inflow_operating_revenue,outflow_cogs,outflow_opex,Interest_Rate_Proxy,Consumer_Confidence_Index,EV_Component_Cost_Index,Economic_Activity_Index
2000-01-01,684349908.449548,313926966.96812195,102652486.2674322,5.45,112.0,169.3,91.538
2000-02-01,703521226.0250952,324055635.88487154,105528183.90376428,5.73,111.3,170.0,91.8239
2000-03-01,675640528.5293521,313043907.4646847,101346079.2794028,5.85,107.1,171.0,92.1504
2000-04-01,672179589.5476955,311258224.91330475,100826938.43215433,6.02,109.2,170.9,92.6989
2000-05-01,649399800.7255468,301237728.311458,97409970.10883202,6.27,110.7,171.2,92.9499
2000-06-01,636841256.3833123,297137722.3749632,95526188.45749685,6.53,106.4,172.2,92.9862
2000-07-01,649543115.5258151,303944139.6177111,97431467.32887226,6.54,108.3,172.7,92.8048
2000-08-01,647258266.8512638,302874978.3134904,97088740.02768956,6.5,107.3,172.7,92.5521
2000-09-01,671940172.0984231,316063088.4750856,100791025.81476347,6.52,106.8,173.6,92.9792
2000-10-01,643766358.9712143,303334154.07229936,96564953.84568214,6.51,105.8,173.9,92.6179
2000-11-01,599250540.118578,282845997.3699339,89887581.0177867,6.51,107.6,174.2,92.6438
2000-12-01,584380698.7962962,276460796.7251759,87657104.81944443,6.4,98.4,174.6,92.3415
2001-01-01,644979942.1168945,306876882.08053005,96746991.31753416,5.98,94.7,175.6,91.902
2001-02-01,623397063.0848606,297283545.7310372,93509559.46272908,5.49,90.6,176.0,91.3034
2001-03-01,605546449.7950482,288935078.27719474,90831967.46925724,5.31,91.5,176.1,91.1162
2001-04-01,606611488.6681967,289936348.1225936,90991723.3002295,4.8,88.4,176.4,90.7891
2001-05-01,601225725.0960225,288828299.2142185,90183858.76440337,4.21,92.0,177.3,90.3555
2001-06-01,639028753.7932951,307681426.5183721,95854313.06899427,3.97,92.6,177.7,89.8784
2001-07-01,587766984.8250101,282521989.49684197,88165047.7237515,3.77,92.4,177.4,89.3028
2001-08-01,577665770.7019787,277666638.33889616,86649865.6052968,3.65,91.5,177.4,89.2003
2001-09-01,612518427.0436722,295581011.1830808,91877764.05655083,3.07,81.8,178.1,88.7485
2001-10-01,798357215.0956873,384179041.32465,119753582.26435308,2.49,82.7,177.6,88.5052
2001-11-01,656540711.7748264,315757352.1455044,98481106.76622395,2.09,83.9,177.5,87.97
