Date,Economic_Activity_Index,Consumer_Confidence_Index,Interest_Rate_Proxy,EV_Component_Cost_Index
2021-01-31,100.74,110.64,2.75,101.9
2021-02-28,105.23,104.07,2.62,105.41
2021-03-31,100.56,115.63,2.8,99.03
2021-04-30,101.3,108.67,2.78,104.04
2021-05-31,100.21,103.77,2.89,104.45
2021-06-30,99.78,108.76,2.58,106.12
2021-07-31,99.99,104.21,2.48,97.54
2021-08-31,99.23,105.01,2.45,99.82
2021-09-30,99.8,104.59,2.63,94.06
2021-10-31,100.93,101.02,2.73,99.32
2021-11-30,103.54,104.95,2.53,97.2
2021-12-31,103.22,110.05,2.92,103.82
2022-01-31,97.81,93.2,2.49,100.01
2022-02-28,98.26,87.78,2.0,95.95
2022-03-31,100.03,94.29,2.51,101.8
2022-04-30,96.34,86.65,2.47,99.8
2022-05-31,101.93,90.2,2.64,92.94
2022-06-30,102.13,87.77,2.34,100.28
2022-07-31,94.88,87.89,2.6,93.76
2022-08-31,96.33,92.57,2.49,96.55
2022-09-30,97.0,92.47,2.2,93.31
2022-10-31,96.51,83.25,2.06,96.13
2022-11-30,98.09,87.08,2.17,96.62
2022-12-31,94.43,77.98,2.19,95.78
2023-01-31,100.38,104.92,2.14,104.06
2023-02-28,101.0,97.92,2.92,104.69
2023-03-31,99.42,92.28,2.77,104.2
2023-04-30,99.76,97.79,2.78,102.01
2023-05-31,98.88,97.4,2.63,98.83
2023-06-30,101.04,96.86,2.45,102.08
2023-07-31,99.22,93.23,2.31,98.91
2023-08-31,98.44,100.55,2.28,100.74
2023-09-30,93.26,93.61,2.2,99.66
2023-10-31,98.69,97.44,2.48,99.53
2023-11-30,98.92,90.58,2.26,96.11
2023-12-31,102.76,92.76,2.49,101.82
2024-01-31,103.49,111.62,2.52,108.45
2024-02-29,103.42,110.25,2.67,103.85
2024-03-31,101.71,113.38,2.46,107.01
2024-04-30,104.99,113.99,2.62,104.08
2024-05-31,103.64,108.24,2.56,100.44
2024-06-30,97.9,107.69,2.43,101.42
2024-07-31,103.43,109.8,2.3,103.75
2024-08-31,102.6,111.73,2.61,99.76
2024-09-30,97.49,109.42,2.66,102.44
2024-10-31,102.35,112.58,2.34,97.31
2024-11-30,103.02,109.74,2.68,100.02
2024-12-31,101.19,105.34,2.69,98.86
2025-01-31,92.73018346210345,81.03086935872061,3.3875562015516674,105.75954622567883
2025-02-28,94.19358418106482,63.873090824553664,2.85162417272397,119.59108654864582
2025-03-31,101.1575170282015,57.463033833303115,2.358326814207562,124.01147565240235
2025-04-30,101.0761790627877,61.28862550206157,2.191344373362294,131.00226029941103
2025-05-31,103.91747816994742,54.64724651891764,2.0116982676399484,134.86918611865752
2025-06-30,103.37433026278286,57.492852008580556,1.8179600504351514,129.4523315227896
2025-07-31,104.7027014389673,53.927616868079916,1.9128205667184,134.8656464805814
2025-08-31,105.36155285245688,43.5783426497733,2.024013844992789,147.5796412287365
2025-09-30,100.85837680940578,33.5994189718095,1.7087655013678773,143.0979950313341
2025-10-31,101.847621603455,37.70581768297395,1.9810527851547337,148.759750528489
2025-11-30,105.77210306436109,36.99525138215968,2.1505010844554495,152.90653558765985
2025-12-31,102.35698455286145,39.33325606832925,2.095674547626699,155.27561292054475
2026-01-31,105.31405880117268,29.476648506306546,2.337844170629069,163.4123820856209
2026-02-28,101.4855251684384,28.578754852343103,2.352065435328964,182.16537824073893
2026-03-31,101.85877768455349,32.12907347986344,1.9312508629082887,175.20528803969827
2026-04-30,99.26031550261354,30.020668786931203,1.62778884690406,171.26544142468708
2026-05-31,93.95878541412046,30.2989836955331,1.4708880884924895,170.8155645152269
2026-06-30,100.39869575074667,30.108483155789603,1.406185504604784,195.33378491500184
2026-07-31,103.56746046938021,36.96173590975989,1.5371325347625693,199.93343440779714
2026-08-31,105.9480540589323,34.82122235084587,1.4409206108860309,209.77857006960915
2026-09-30,108.04109389422885,28.230699346691658,1.706232255453876,243.54799296620774
2026-10-31,102.59348077070749,34.127150213538414,1.9694927142883116,261.03875343756835
2026-11-30,98.79508542188933,27.607143280193373,1.949130546016538,227.30662637394934
2026-12-31,98.01865025293701,29.648739113767018,1.9619429684727703,232.34000014373458
