Date,CapEx_Amount
2021-01-31,6527458
2021-02-28,7437379
2021-03-31,6401901
2021-04-30,6788431
2021-05-31,6025676
2021-06-30,4611555
2021-07-31,4666822
2021-08-31,3400243
2021-09-30,5202079
2021-10-31,5430069
2021-11-30,7421474
2021-12-31,7162607
2022-01-31,7185578
2022-02-28,5736571
2022-03-31,5061313
2022-04-30,5668744
2022-05-31,5718392
2022-06-30,3920559
2022-07-31,5811630
2022-08-31,4674505
2022-09-30,4614256
2022-10-31,7244388
2022-11-30,5858088
2022-12-31,6093138
2023-01-31,5804310
2023-02-28,3294185
2023-03-31,6595645
2023-04-30,4575917
2023-05-31,5098908
2023-06-30,6277093
2023-07-31,5129426
2023-08-31,5111061
2023-09-30,5955060
2023-10-31,4827618
2023-11-30,3260600
2023-12-31,4147744
2024-01-31,6581588
2024-02-29,3190521
2024-03-31,4699646
2024-04-30,5424492
2024-05-31,3489216
2024-06-30,7835926
2024-07-31,3516880
2024-08-31,4405196
2024-09-30,5661623
2024-10-31,4081051
2024-11-30,6288048
2024-12-31,7262046
2025-01-31,7804909.71
2025-02-28,4014024.19
2025-03-31,6053507.71
2025-04-30,5848841.77
2025-05-31,5946348.42
2025-06-30,4954028.28
2025-07-31,3345466.43
2025-08-31,4150193.75
2025-09-30,5913760.87
2025-10-31,3978873.59
2025-11-30,4179797.96
2025-12-31,4783183.84
2026-01-31,6961007.85
2026-02-28,3801003.8
2026-03-31,5672151.6
2026-04-30,4342211.15
2026-05-31,4650289.51
2026-06-30,4815849
2026-07-31,3594146.34
2026-08-31,4054744.1
2026-09-30,6377763.86
2026-10-31,5078381.87
2026-11-30,5132313.52
2026-12-31,7215295.75
