Date,CapEx_Amount
2021-01-31,73970141.82
2021-02-28,71913602.8
2021-03-31,104168925.76
2021-04-30,87404561.33
2021-05-31,83015082.27
2021-06-30,82498727.2
2021-07-31,89256845.67
2021-08-31,86218819.23
2021-09-30,86815825.62
2021-10-31,71604063.59
2021-11-30,78456304.91
2021-12-31,77246541.26
2022-01-31,20454259.22
2022-02-28,17876544.17
2022-03-31,25343469.73
2022-04-30,19812824.03
2022-05-31,20419994.89
2022-06-30,20874206.09
2022-07-31,21340043.86
2022-08-31,21084024.56
2022-09-30,21702603.4
2022-10-31,17708950.9
2022-11-30,18456406.37
2022-12-31,17049100.5
2023-01-31,47901027.47
2023-02-28,44690626.18
2023-03-31,60769015.03
2023-04-30,55356551.57
2023-05-31,45503182.47
2023-06-30,44519501.88
2023-07-31,45703903.41
2023-08-31,57097334.81
2023-09-30,66449936.16
2023-10-31,50506779.83
2023-11-30,49016878.86
2023-12-31,45307888.5
2024-01-31,84283451.46
2024-02-29,93433517.94
2024-03-31,103324870.24
2024-04-30,96195296.19
2024-05-31,91538682.3
2024-06-30,101944528.73
2024-07-31,80645732.09
2024-08-31,100698091.01
2024-09-30,97568323.34
2024-10-31,92545087.98
2024-11-30,77650999.95
2024-12-31,94141544.78
2025-01-31,87403014.37
2025-02-28,111847477.02
2025-03-31,80546042.0
2025-04-30,93875791.22
2025-05-31,72018177.45
2025-06-30,73800157.83
2025-07-31,113195779.85
2025-08-31,100892989.7
2025-09-30,145865932.64
2025-10-31,106012444.3
2025-11-30,122101111.39
2025-12-31,95985914.08
2026-01-31,101492479.35
2026-02-28,77076572.43
2026-03-31,107889699.98
2026-04-30,86344986.02
2026-05-31,122191650.26
2026-06-30,75213903.81
2026-07-31,98711293.56
2026-08-31,120267390.11
2026-09-30,120704735.74
2026-10-31,72900758.93
2026-11-30,106795430.0
2026-12-31,94499273.49
