Date,Economic_Activity_Index,Consumer_Confidence_Index,Interest_Rate_Proxy,EV_Component_Cost_Index
2021-01-31,99.51,95.24,0.25,99.93
2021-02-28,99.15,94.83,0.37,99.78
2021-03-31,100.2,97.01,0.49,99.94
2021-04-30,101.66,96.23,0.61,101.55
2021-05-31,100.92,96.88,0.72,102.69
2021-06-30,101.14,96.47,0.84,101.83
2021-07-31,100.22,95.01,0.97,101.69
2021-08-31,101.72,95.7,1.07,104.04
2021-09-30,102.96,94.27,1.2,103.98
2021-10-31,101.58,98.49,1.34,104.16
2021-11-30,100.91,95.57,1.4,105.39
2021-12-31,100.86,97.19,1.56,104.09
2022-01-31,101.19,96.6,1.66,106.13
2022-02-28,104.36,97.15,1.8,98.85
2022-03-31,103.91,99.44,1.92,94.24
2022-04-30,102.36,96.12,2.0,89.39
2022-05-31,103.89,96.69,2.14,84.44
2022-06-30,102.61,95.89,2.23,80.31
2022-07-31,103.21,98.07,2.41,76.81
2022-08-31,103.14,96.38,2.5,71.29
2022-09-30,102.59,97.07,2.61,65.23
2022-10-31,104.69,98.78,2.75,58.61
2022-11-30,103.54,97.08,2.84,54.69
2022-12-31,103.73,99.03,2.96,49.13
2023-01-31,104.67,97.53,3.07,64.8
2023-02-28,102.97,96.82,3.2,62.13
2023-03-31,105.26,95.72,3.31,58.76
2023-04-30,106.62,99.88,3.39,54.74
2023-05-31,105.9,98.1,3.48,51.43
2023-06-30,104.83,99.45,3.65,48.71
2023-07-31,104.66,99.74,3.79,44.18
2023-08-31,103.21,97.42,3.92,41.68
2023-09-30,104.24,100.02,3.99,37.64
2023-10-31,105.62,100.67,4.17,34.7
2023-11-30,103.83,99.66,4.33,31.98
2023-12-31,106.37,98.97,4.33,28.53
2024-01-31,104.47,101.97,4.54,44.59
2024-02-29,106.05,98.54,4.49,43.03
2024-03-31,108.3,100.97,4.39,40.19
2024-04-30,107.02,99.99,4.54,37.06
2024-05-31,107.38,100.44,4.52,35.82
2024-06-30,107.2,100.22,4.46,32.41
2024-07-31,107.02,100.27,4.59,30.17
2024-08-31,106.74,102.4,4.43,27.86
2024-09-30,108.69,103.19,4.51,25.28
2024-10-31,108.01,101.88,4.46,22.84
2024-11-30,108.03,100.11,4.5,19.62
2024-12-31,105.94,100.57,4.53,17.73
2025-01-31,103.3,99.83,4.54,32.89
2025-02-28,109.23,95.62,4.62,30.68
2025-03-31,105.86,105.17,4.56,29.67
2025-04-30,107.52,109.62,4.43,28.86
2025-05-31,107.01,105.69,4.27,22.66
2025-06-30,114.07,100.21,4.68,24.59
2025-07-31,104.92,99.38,4.53,20.74
2025-08-31,109.76,107.38,4.28,18.9
2025-09-30,116.14,107.52,4.72,16.45
2025-10-31,110.34,105.77,4.61,14.55
2025-11-30,115.89,106.92,4.25,13.49
2025-12-31,117.56,101.32,4.48,11.78
2026-01-31,101.96,95.9,4.67,24.57
2026-02-28,101.04,94.18,4.61,25.28
2026-03-31,106.87,100.03,4.39,21.13
2026-04-30,115.59,92.67,4.56,21.82
2026-05-31,114.6,103.33,4.59,19.32
2026-06-30,107.24,96.03,4.61,17.15
2026-07-31,106.62,105.57,4.3,16.44
2026-08-31,104.45,104.53,4.63,13.28
2026-09-30,109.94,119.12,4.71,10.17
2026-10-31,117.91,106.89,4.32,8.75
2026-11-30,117.04,113.31,4.22,8.05
2026-12-31,112.69,105.89,4.54,6.74
