ds,inflow_operating_revenue_actual,inflow_operating_revenue_forecast,inflow_operating_revenue_lower,inflow_operating_revenue_upper,outflow_cogs_actual,outflow_cogs_forecast,outflow_cogs_lower,outflow_cogs_upper,outflow_opex_actual,outflow_opex_forecast,outflow_opex_lower,outflow_opex_upper,inflow_operating_revenue_final,outflow_cogs_final,outflow_opex_final,activity_pct_delta,confidence_pct_delta,cost_pct_delta,interest_expense,taxes,net_debt_financing_activity,capex_outflow,long_term_debt_projected,interest_forecast,interest_final,ebit_final,ebt_final,taxes_forecast,taxes_final,net_operating_cash_flow,net_investing_cash_flow,net_financing_cash_flow,net_change_in_cash_total
2000-01-01,684349908.449548,694355423.5030621,638985266.5779564,744652035.8114182,313926966.96812195,321941229.01489455,292490801.4898103,349517071.67508745,102652486.2674322,104329917.26787952,95612600.517886,112718135.3328469,684349908.449548,313926966.96812195,102652486.2674322,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,267770455.21399385,267694900.88299385,66923725.22074846,66923725.22074846,200771175.6622454,-0.0,0.0,200771175.6622454
2000-02-01,703521226.0250952,690302533.0487711,634088509.9958045,743087249.2456805,324055635.88487154,318161775.74215734,288866793.5973301,346050838.2835322,105528183.90376428,103764306.52823584,95257044.57517,112749005.93460429,703521226.0250952,324055635.88487154,105528183.90376428,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,273937406.2364594,273861851.9054594,68465462.97636485,68465462.97636485,205396388.92909455,-0.0,0.0,205396388.92909455
2000-03-01,675640528.5293521,670719495.082605,617381056.1522161,726714555.5436661,313043907.4646847,311345424.2863058,282384334.96496373,340774099.5568623,101346079.2794028,100838751.98576026,93049243.70857094,109386325.0056352,675640528.5293521,313043907.4646847,101346079.2794028,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,261250541.78526455,261174987.45426455,65293746.86356614,65293746.86356614,195881240.59069842,-0.0,0.0,195881240.59069842
2000-04-01,672179589.5476955,702297450.7916822,643421569.9742304,760435553.7775915,311258224.91330475,325721885.64664584,298198167.1248724,353996303.67063856,100826938.43215431,105479005.119296,97068909.32541996,113673457.69925876,672179589.5476955,311258224.91330475,100826938.43215431,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,260094426.20223647,260018871.87123647,65004717.96780912,65004717.96780912,195014153.90342736,-0.0,0.0,195014153.90342736
2000-05-01,649399800.7255468,708464570.1632062,652844822.070489,763910397.7241092,301237728.311458,331540907.68955725,302953105.596695,358698683.4841208,97409970.10883202,106411019.68191764,98471317.1056978,114199060.24981797,649399800.7255468,301237728.311458,97409970.10883202,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,250752102.30525684,250676547.97425684,62669136.99356421,62669136.99356421,188007410.98069268,-0.0,0.0,188007410.98069268
2000-06-01,636841256.3833123,681559676.9813086,623986894.6422261,737193395.9308481,297137722.3749632,320827379.94696987,293378578.2999416,350290023.17727464,95526188.45749684,102292577.68348745,93928585.34308691,110751855.12705764,636841256.3833123,297137722.3749632,95526188.45749684,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,244177345.5508523,244101791.2198523,61025447.804963075,61025447.804963075,183076343.41488928,-0.0,0.0,183076343.41488928
2000-07-01,649543115.5258151,707517151.6624962,653866131.6154248,761124485.8372056,303944139.6177111,332870758.040079,303852039.9918746,362840494.21578586,97431467.32887226,105954392.7716034,97838740.57551444,113844940.70109558,649543115.5258151,303944139.6177111,97431467.32887226,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,248167508.57923174,248091954.24823174,62022988.562057935,62022988.562057935,186068965.68617386,-0.0,0.0,186068965.68617386
2000-08-01,647258266.8512638,689383924.3470004,631468007.8880556,742868411.6720585,302874978.3134904,324121891.79912966,295706602.31845105,352427827.47556746,97088740.02768956,103576988.0587243,95285145.76146816,112147046.31664012,647258266.8512638,302874978.3134904,97088740.02768956,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,247294548.5100838,247218994.1790838,61804748.54477095,61804748.54477095,185414245.63431287,-0.0,0.0,185414245.63431287
2000-09-01,671940172.0984231,693894255.9404078,644477944.6786942,751888395.2657223,316063088.4750856,326875592.05369896,298539671.9067033,355213441.6032887,100791025.81476349,103944010.33203436,95278628.24207586,111985449.159822,671940172.0984231,316063088.4750856,100791025.81476349,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,255086057.80857402,255010503.47757402,63752625.869393505,63752625.869393505,191257877.60818052,-0.0,0.0,191257877.60818052
2000-10-01,643766358.9712143,676081667.6384943,621651132.9826409,728051448.475225,303334154.07229936,316276945.5666013,288064923.5333371,345348427.2397952,96564953.84568214,101598957.03556174,93738013.4870702,109922023.07965884,643766358.9712143,303334154.07229936,96564953.84568214,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,243867251.0532328,243791696.7222328,60947924.1805582,60947924.1805582,182843772.5416746,-0.0,0.0,182843772.5416746
