ds,inflow_operating_revenue_actual,inflow_operating_revenue_forecast,inflow_operating_revenue_lower,inflow_operating_revenue_upper,outflow_cogs_actual,outflow_cogs_forecast,outflow_cogs_lower,outflow_cogs_upper,outflow_opex_actual,outflow_opex_forecast,outflow_opex_lower,outflow_opex_upper,inflow_operating_revenue_final,outflow_cogs_final,outflow_opex_final,interest_expense,taxes,net_debt_financing_activity,capex_outflow,long_term_debt_projected,interest_forecast,interest_final,ebit_final,ebt_final,taxes_forecast,taxes_final,net_operating_cash_flow,net_investing_cash_flow,net_financing_cash_flow,net_change_in_cash_total
2000-01-01,684349908.449548,694355423.5030621,636871858.875631,749624423.8069849,313926966.96812195,321941229.01489455,294243208.3046212,350741322.07830644,102652486.2674322,104329917.26787952,96093526.30856974,112693342.3847048,684349908.449548,313926966.96812195,102652486.2674322,,,,,30221732.4,75554.33099999999,75554.33099999999,267770455.21399385,267694900.88299385,66923725.22074846,66923725.22074846,200771175.6622454,-0.0,0.0,200771175.6622454
2000-02-01,703521226.0250952,690302533.0487711,636747214.2272991,746313415.832291,324055635.88487154,318161775.74215734,290471748.9583459,347478685.3129846,105528183.90376428,103764306.52823584,95102801.03847954,112351330.25868437,703521226.0250952,324055635.88487154,105528183.90376428,,,,,30221732.4,75554.33099999999,75554.33099999999,273937406.2364594,273861851.9054594,68465462.97636485,68465462.97636485,205396388.92909455,-0.0,0.0,205396388.92909455
2000-03-01,675640528.5293521,670719495.082605,614418872.1156833,727037567.0442232,313043907.4646847,311345424.2863058,285334700.3661241,340251781.90881044,101346079.2794028,100838751.98576026,92489959.6477544,109036373.2094015,675640528.5293521,313043907.4646847,101346079.2794028,,,,,30221732.4,75554.33099999999,75554.33099999999,261250541.78526455,261174987.45426455,65293746.86356614,65293746.86356614,195881240.59069842,-0.0,0.0,195881240.59069842
2000-04-01,672179589.5476955,702297450.7916822,647137562.229692,758791468.6104035,311258224.91330475,325721885.64664584,297910199.65579426,354815332.779865,100826938.43215431,105479005.119296,96957062.9814243,114401630.42569564,672179589.5476955,311258224.91330475,100826938.43215431,,,,,30221732.4,75554.33099999999,75554.33099999999,260094426.20223647,260018871.87123647,65004717.96780912,65004717.96780912,195014153.90342736,-0.0,0.0,195014153.90342736
2000-05-01,649399800.7255468,708464570.1632062,653114022.8785448,765725817.7532845,301237728.311458,331540907.68955725,300515092.1136275,360085188.31400776,97409970.10883202,106411019.68191764,98185625.45365088,114696429.97849911,649399800.7255468,301237728.311458,97409970.10883202,,,,,30221732.4,75554.33099999999,75554.33099999999,250752102.30525684,250676547.97425684,62669136.99356421,62669136.99356421,188007410.98069268,-0.0,0.0,188007410.98069268
2000-06-01,636841256.3833123,681559676.9813086,629755074.6982303,734687898.5838438,297137722.3749632,320827379.94696987,293599041.0164371,349064292.03721833,95526188.45749684,102292577.68348745,94303447.9136754,111319910.78374478,636841256.3833123,297137722.3749632,95526188.45749684,,,,,30221732.4,75554.33099999999,75554.33099999999,244177345.5508523,244101791.2198523,61025447.804963075,61025447.804963075,183076343.41488928,-0.0,0.0,183076343.41488928
2000-07-01,649543115.5258151,707517151.6624962,655908300.023192,764379377.8082458,303944139.6177111,332870758.040079,306923458.29399735,361808331.04249024,97431467.32887226,105954392.7716034,98017478.82051136,114313570.70232517,649543115.5258151,303944139.6177111,97431467.32887226,,,,,30221732.4,75554.33099999999,75554.33099999999,248167508.57923174,248091954.24823174,62022988.562057935,62022988.562057935,186068965.68617386,-0.0,0.0,186068965.68617386
2000-08-01,647258266.8512638,689383924.3470004,637315792.1677336,747087047.91875,302874978.3134904,324121891.79912966,295305425.86485404,351499051.1335689,97088740.02768956,103576988.0587243,95548922.11388592,112236846.825142,647258266.8512638,302874978.3134904,97088740.02768956,,,,,30221732.4,75554.33099999999,75554.33099999999,247294548.5100838,247218994.1790838,61804748.54477095,61804748.54477095,185414245.63431287,-0.0,0.0,185414245.63431287
2000-09-01,671940172.0984231,693894255.9404078,639731225.153172,752780501.5804898,316063088.4750856,326875592.05369896,298164123.2407892,353056161.9917381,100791025.81476349,103944010.33203436,95710584.14169936,112473310.74822454,671940172.0984231,316063088.4750856,100791025.81476349,,,,,30221732.4,75554.33099999999,75554.33099999999,255086057.80857402,255010503.47757402,63752625.869393505,63752625.869393505,191257877.60818052,-0.0,0.0,191257877.60818052
2000-10-01,643766358.9712143,676081667.6384943,624783029.0025018,730293331.0689372,303334154.07229936,316276945.5666013,286705914.3799336,345100584.7960572,96564953.84568214,101598957.03556174,93234806.89099964,109887978.3376419,643766358.9712143,303334154.07229936,96564953.84568214,,,,,30221732.4,75554.33099999999,75554.33099999999,243867251.0532328,243791696.7222328,60947924.1805582,60947924.1805582,182843772.5416746,-0.0,0.0,182843772.5416746
